,Input,Type,avg_score,entailment_score,time_taken
0,Grow up,Full Dataset,21.706403544099878,0.9649022221565247,380.2833671569824
1,Grow up,Random search with 500 iterations,20.564,0.9217274188995361,38.64839720726013
2,Grow up,Full Dataset with Threshold at 50,21.706403544099878,0.9649022221565247,379.8121027946472
0,Now you know my trick,Full Dataset,6.452275473217882,0.9705302119255066,399.75566244125366
1,Now you know my trick,Random search with 500 iterations,5.966,0.8506709337234497,39.48955965042114
2,Now you know my trick,Full Dataset with Threshold at 50,6.452275473217882,0.9705302119255066,399.1567180156708
0,I see your pattern,Full Dataset,7.747684252919855,0.9705302119255066,390.8204925060272
1,I see your pattern,Random search with 500 iterations,8.526,0.9118704199790955,38.492045164108276
2,I see your pattern,Full Dataset with Threshold at 50,7.747684252919855,0.9518653154373169,413.88129210472107
0,You move quick,Full Dataset,7.862062021747886,0.9765299558639526,388.5308768749237
1,You move quick,Random search with 500 iterations,7.004,0.7776971459388733,38.37460160255432
2,You move quick,Full Dataset with Threshold at 50,7.862062021747886,0.9765299558639526,429.1264925003052
0,Awesome,Full Dataset,19.075110753121223,0.9765299558639526,415.42703437805176
1,Awesome,Random search with 500 iterations,18.884,0.9543575048446655,42.119675159454346
2,Awesome,Full Dataset with Threshold at 50,19.075110753121223,0.9758111238479614,433.16391611099243
0,My bad,Full Dataset,6.534836890857833,0.9758111238479614,432.46667647361755
1,My bad,Random search with 500 iterations,7.334,0.9617961645126343,39.727861166000366
2,My bad,Full Dataset with Threshold at 50,6.534836890857833,0.9704354405403137,373.11763286590576
0,Here you go,Full Dataset,24.29581151832461,0.9896448850631714,382.7368493080139
1,Here you go,Random search with 500 iterations,23.84,0.9896448850631714,39.077598333358765
2,Here you go,Full Dataset with Threshold at 50,24.29581151832461,0.9896448850631714,383.76191115379333
0,I'm great. How about you?,Full Dataset,11.895892066049134,0.9916900396347046,479.1003165245056
1,I'm great. How about you?,Random search with 500 iterations,12.28,0.9871048927307129,46.77906274795532
2,I'm great. How about you?,Full Dataset with Threshold at 50,11.895892066049134,0.9916900396347046,487.6343264579773
0,Stressed out?,Full Dataset,6.342327829238824,0.9916900396347046,485.1630733013153
